[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b64708) [0x0000029cc9b64800, 0x0000029cc9b64918] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.isArray (0x0000029cc9b64a08) [0x0000029cc9b64b20, 0x0000029cc9b64d38] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x0000029cc9b64d88) [0x0000029cc9b64e80, 0x0000029cc9b64f90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putIfAbsent (0x0000029cc1fdcc08) [0x0000029cc1fdcd20, 0x0000029cc1fdce60] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.returnType (0x0000029cc9b65088) [0x0000029cc9b651a0, 0x0000029cc9b65298] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.clone (0x0000029cc9b65388) [0x0000029cc9b654c0, 0x0000029cc9b658d8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.ref.ReferenceQueue.headIsNull (0x0000029cc1fdcf08) [0x0000029cc1fdd020, 0x0000029cc1fdd1b0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x0000029cc9b65908) [0x0000029cc9b65a20, 0x0000029cc9b65d10] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.hashCode (0x0000029cc1fdd208) [0x0000029cc1fdd340, 0x0000029cc1fdd558] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x0000029cc9b65d88) [0x0000029cc9b65e80, 0x0000029cc9b65f98] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ReferencedKeyMap.removeStaleReferences (0x0000029cc1fdd588) [0x0000029cc1fdd6e0, 0x0000029cc1fddaa8] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.687+0530][0.078s][debug][gc,nmethod  ] Register NMethod: java.lang.ref.NativeReferenceQueue.poll (0x0000029cc1fddb08) [0x0000029cc1fddc60, 0x0000029cc1fde098] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
